months,ICO Composite Indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
09/1997,2.925165563,4.333112583,4.191390728,3.703532009,1.658940397
10/1997,2.673068433,3.739514349,3.701103753,3.358057395,1.645033113
11/1997,2.608388521,3.562472406,3.537969095,3.290728477,1.678587196
12/1997,2.870198675,4.046799117,3.916997792,3.777483444,1.823399558
01/1998,2.883222958,4.066445916,3.924944812,3.969757174,1.841280353
02/1998,2.886975717,4.207284768,3.933333333,3.924503311,1.8401766
03/1998,2.647461369,3.666004415,3.48013245,3.418101545,1.814348786
04/1998,2.641501104,3.491611479,3.318984547,3.115011038,1.96401766
05/1998,2.521633554,3.230242826,3.0401766,2.756953642,2.003090508
06/1998,2.292273731,2.998454746,2.757836645,2.297792494,1.826269316
07/1998,2.148344371,2.76004415,2.59602649,2.12406181,1.700662252
08/1998,2.235099338,2.857615894,2.71986755,2.249889625,1.750331126
09/1998,2.115231788,2.595143488,2.469094923,2.047682119,1.761589404
10/1998,2.097350993,2.538852097,2.422075055,2.01589404,1.772626932
11/1998,2.169094923,2.687417219,2.568653422,2.133995585,1.769536424
12/1998,2.223620309,2.736423841,2.591390728,2.213686534,1.855629139
01/1999,2.154966887,2.716777042,2.493598234,2.194922737,1.816556291
02/1999,2.038852097,2.581015453,2.328476821,2.024724062,1.749006623
03/1999,1.973509934,2.58388521,2.326490066,1.962472406,1.620750552
04/1999,1.89205298,2.516997792,2.254083885,1.901545254,1.530242826
05/1999,1.97593819,2.736203091,2.45187638,2.125607064,1.499779249
06/1999,1.907284768,2.681015453,2.366666667,2.02406181,1.44790287
07/1999,1.726269316,2.363134658,2.093598234,1.724724062,1.358940397
08/1999,1.704635762,2.32406181,2.016777042,1.692494481,1.392273731
09/1999,1.58807947,2.158278146,1.861147903,1.554746137,1.315011038
10/1999,1.685651214,2.288962472,2.079470199,1.738189845,1.29183223
11/1999,1.947461369,2.798233996,2.502869757,2.172406181,1.39205298
12/1999,2.110816777,3.098233996,2.747461369,2.416556291,1.474392936
01/2000,1.813245033,2.872626932,2.452759382,2.156291391,1.173951435
02/2000,1.681015453,2.753421634,2.283443709,2.0200883,1.078587196
03/2000,1.622295806,2.638189845,2.223620309,1.985209713,1.020971302
04/2000,1.534878587,2.487196468,2.088520971,1.908609272,0.9812362031
05/2000,1.528256071,2.435099338,2.078366446,1.925607064,0.9783664459
06/2000,1.425165563,2.214128035,1.90816777,1.728918322,0.9421633554
07/2000,1.414569536,2.244370861,1.928256071,1.763576159,0.9011037528
08/2000,1.271081678,2.02803532,1.697792494,1.557836645,0.8443708609
09/2000,1.264900662,1.986313466,1.672847682,1.570419426,0.8571743929
10/2000,1.244812362,1.992273731,1.69205298,1.595584989,0.7977924945
11/2000,1.151655629,1.854525386,1.579249448,1.522075055,0.7242825607
12/2000,1.065562914,1.673509934,1.460264901,1.421412804,0.6706401766
01/2001,1.085871965,1.662913907,1.456512141,1.377041943,0.7152317881
02/2001,1.090066225,1.693156733,1.483222958,1.379690949,0.6971302428
03/2001,1.070860927,1.698454746,1.46799117,1.332229581,0.6737306843
04/2001,1.044370861,1.727373068,1.4598234,1.216556291,0.6289183223
05/2001,1.090066225,1.786313466,1.52803532,1.262472406,0.6523178808
06/2001,1.027152318,1.641942605,1.410596026,1.144812362,0.6437086093
07/2001,0.9507726269,1.538631347,1.296247241,1.024944812,0.6052980132
08/2001,0.9439293598,1.622516556,1.318101545,1.026269316,0.5697571744
09/2001,0.9088300221,1.518763797,1.281677704,0.9364238411,0.5357615894
10/2001,0.9317880795,1.38785872,1.245033113,0.8527593819,0.512803532
11/2001,0.9766004415,1.432450331,1.299116998,0.9452538631,0.5225165563
12/2001,0.9569536424,1.37593819,1.25209713,0.9317880795,0.5390728477
01/2002,0.9593818985,1.3799117,1.285871965,0.9523178808,0.5035320088
02/2002,0.9779249448,1.383443709,1.304856512,0.9529801325,0.5379690949
03/2002,1.092494481,1.507064018,1.423178808,1.075055188,0.6415011038
04/2002,1.10816777,1.537086093,1.441280353,1.093156733,0.6470198675
05/2002,1.04415011,1.45584989,1.355408389,1.001986755,0.6249448124
06/2002,1.005739514,1.389403974,1.292715232,0.9492273731,0.6273730684
07/2002,0.9867549669,1.337748344,1.246799117,0.9558498896,0.6313465784
08/2002,0.9445916115,1.282560706,1.198013245,0.8869757174,0.6154525386
09/2002,1.058719647,1.41611479,1.339072848,0.9830022075,0.7081677704
10/2002,1.121192053,1.499337748,1.450993377,1.017218543,0.7355408389
11/2002,1.207064018,1.560706402,1.542384106,1.087196468,0.8364238411
12/2002,1.141059603,1.443267108,1.416335541,1.027593819,0.8401766004
01/2003,1.192935982,1.484988962,1.447461369,1.088520971,0.9090507726
02/2003,1.193598234,1.489403974,1.466004415,1.081015453,0.8977924945
03/2003,1.095143488,1.37196468,1.363134658,0.9662251656,0.8205298013
04/2003,1.145033113,1.421633554,1.42803532,1.071743929,0.8260485651
05/2003,1.174172185,1.450993377,1.462693157,1.128476821,0.8344370861
06/2003,1.079470199,1.36004415,1.347461369,1.034878587,0.755187638
07/2003,1.123399558,1.432229581,1.389624724,1.092715232,0.7803532009
08/2003,1.152759382,1.449227373,1.410375276,1.158498896,0.8013245033
09/2003,1.194260486,1.491169978,1.466004415,1.211037528,0.8245033113
10/2003,1.141721854,1.460706402,1.419205298,1.165783664,0.7920529801
11/2003,1.099337748,1.421412804,1.374613687,1.11986755,0.7529801325
12/2003,1.157615894,1.47196468,1.431567329,1.209492274,0.7924944812
01/2004,1.295364238,1.628256071,1.605518764,1.369977925,0.8794701987
02/2004,1.321633554,1.689403974,1.682119205,1.446357616,0.8178807947
03/2004,1.342163355,1.721192053,1.723178808,1.478366446,0.8101545254
04/2004,1.298013245,1.660485651,1.665342163,1.406181015,0.8028697572
05/2004,1.322516556,1.703532009,1.699558499,1.438410596,0.8070640177
06/2004,1.418984547,1.821412804,1.814790287,1.536644592,0.8801324503
07/2004,1.290507726,1.680573951,1.654304636,1.388300221,0.7951434879
08/2004,1.257836645,1.663355408,1.624944812,1.363134658,0.7485651214
09/2004,1.356953642,1.788520971,1.776379691,1.520971302,0.7558498896
10/2004,1.348785872,1.832671082,1.778145695,1.543267108,0.6991169978
11/2004,1.495364238,2.049227373,1.992715232,1.752538631,0.7220750552
12/2004,1.715673289,2.334437086,2.298454746,2.025607064,0.8150110375
01/2005,1.751655629,2.388962472,2.365562914,2.066887417,0.8158940397
02/2005,1.973509934,2.683443709,2.66799117,2.342384106,0.9103752759
03/2005,2.239293598,2.99205298,2.980794702,2.651655629,1.092935982
04/2005,2.167770419,2.858940397,2.859381898,2.527152318,1.120309051
05/2005,2.202649007,2.844812362,2.833774834,2.537748344,1.237748344
06/2005,2.125607064,2.677483444,2.674613687,2.367108168,1.324944812
07/2005,1.953200883,2.445695364,2.426710817,2.131567329,1.277704194
08/2005,1.883222958,2.404856512,2.388520971,2.096688742,1.147240618
09/2005,1.739293598,2.232891832,2.196247241,1.975275938,1.034657837
10/2005,1.822295806,2.344591611,2.318984547,2.08388521,1.049227373
11/2005,1.896909492,2.406181015,2.378366446,2.162472406,1.135761589
